ubigeo,n_facilities,mean,max,emergencias_total
GREGORIO PITA,5.0,9200.106961666983,9210.019879006812,
GROCIO PRADO,3.0,8538.596655357946,8553.763526119132,
GUADALUPE,5.0,9192.367080924345,9198.82898919325,
GUADALUPITO,1.0,9014.352135359315,9030.51535381112,
GUZMANGO,2.0,9184.643604433166,9188.492385944139,
HABANA,1.0,9331.874874630716,9333.355300442327,
HAQUIRA,14.0,8457.118611544827,8476.063649810238,
HAUCRAPUQUIO,,8668.182305017937,8668.182305017937,
HERMILIO VALDIZAN,3.0,8997.457462243807,9001.714554068878,
HEROES ALBARRACIN,2.0,,,
HEROINAS TOLEDO,1.0,8703.47580671115,8707.287179035311,
HONGOS,1.0,8598.825609701797,8605.575880533215,
HONORIA,6.0,9051.822447132769,9060.140418803614,
HUABAL,7.0,9379.95779405294,9386.18672618641,
HUAC-HUAS,3.0,8451.522886070776,8458.661841267274,
HUACACHI,1.0,8975.915136473779,8981.236136689742,
HUACAR,4.0,8878.951985003496,8889.711340258244,
HUACASCHUQUE,1.0,9082.157849576408,9083.3048477724,
HUACAYBAMBA,2.0,9007.50836861584,9016.111902983683,
HUACAÑA,1.0,8449.629538146422,8458.652035449688,
HUACCANA,9.0,8545.477425398796,8563.69478849061,
HUACCHIS,2.0,8989.107884617411,8994.203162063637,
HUACHAC,4.0,8681.775525711806,8683.888493122191,
HUACHAY,,8925.141184264914,8930.510428022802,
HUACHIS,2.0,8962.24066690639,8968.347129949894,
HUACHO,5.0,8751.200052075797,8773.603450015502,
HUACHOCOLPA,5.0,8615.027040143807,8689.467695421885,
HUACHON,4.0,8835.20436272124,8847.112870786106,
HUACHOS,2.0,8549.49715488302,8559.163036491247,
HUACHUPAMPA,2.0,8712.281311829713,8717.22944449345,
HUACLLAN,1.0,8918.322262378124,8923.556172891927,
HUACRACHUCO,5.0,9052.687078698496,9066.38096912775,
HUACRAPUQUIO,1.0,8665.968624829415,8667.315524482272,
HUACULLANI,1.0,8230.368474381068,8245.049853526887,
HUACUYANI,,8244.630115258782,8247.544306256226,
HUAHUARA,,8143.344108393057,8143.344108393057,
HUAILLATI,5.0,,,
HUALGAYOC,12.0,9252.465322774768,9262.248250304547,
HUALHUAS,1.0,8689.692055252033,8691.022672429068,
HUALLA,2.0,,,
HUALLAGA,2.0,9208.049459140082,9221.04416160504,
HUALLANCA,4.0,8924.914963143694,9038.763264306843,
HUALLAY-GRANDE,1.0,,,
HUALMAY,3.0,8775.461691321156,8776.682627022696,
HUAMACHUCO,6.0,9137.750703478563,9147.160034136641,
HUAMALI,1.0,8707.322983475207,8709.411585376907,
HUAMANCACA CHICO,1.0,8677.122213260738,8678.530668274077,
HUAMANGUILLA,3.0,8582.070564384485,8588.37503358125,
HUAMANQUIQUIA,3.0,8501.444346565851,8507.799679091384,
HUAMANTANGA,3.0,8729.75176765349,8740.291804335564,
HUAMATAMBO,1.0,8560.205748926983,8566.54938010131,
HUAMBALPA,2.0,8502.819226605581,8508.929062699744,
HUAMBO,4.0,8753.640933313765,9295.378499301176,
HUAMBOS,8.0,9287.24717437654,9297.923538582769,
HUAMPARA,1.0,8640.597908370179,8643.459954881531,
HUANCA,1.0,8271.322012527364,8283.798725937057,
HUANCA HUANCA,,8584.051042473588,8587.755131654547,
HUANCA-HUANCA,2.0,8585.609977190214,8591.193761003271,
HUANCABAMBA,17.0,9114.173404239002,9436.123890547125,
HUANCAN,2.0,8674.129871409574,8675.679916154268,
HUANCANA,,8508.15871356674,8508.15871356674,
HUANCANE,10.0,8380.545780014789,8395.94170038532,
HUANCANO,2.0,8510.434190933724,8530.870729974507,
HUANCAPI,1.0,8497.290736051282,8510.986059913506,
HUANCAPON,1.0,8839.90658968613,8846.680571047726,
HUANCARAMA,10.0,8518.800369941619,8522.510917302316,
HUANCARANI,1.0,8548.126257595033,8552.860743864685,
HUANCARAY,4.0,8503.323082010349,8509.331192160917,
HUANCARAYLLA,3.0,8499.633508356519,8507.381521288055,
HUANCARQUI,,8254.912639490709,8269.375074368832,
HUANCAS,2.0,9319.13766863125,9320.639845402668,
HUANCASPATA,3.0,9069.572114887851,9078.80032186935,
HUANCAVELICA,11.0,8595.47471554713,8609.170928574733,
HUANCAYA,1.0,8671.056932723213,8683.050597935751,
HUANCAYO,13.0,8688.492589730498,8704.005010466064,
HUANCHACO,8.0,9105.410373928064,9113.988741411486,
HUANCHAY,2.0,8924.671417384174,8931.487561753609,
HUANDO,6.0,8619.242483560676,8631.40470700311,
HUANDOVAL,1.0,9079.641733530683,9083.019914690212,
HUANGASCAR,1.0,8579.836551104889,8584.829157152915,
HUANIPACA,6.0,8540.097687874164,8548.693413030065,
HUANOQUITE,1.0,8523.39503863274,8532.608205675335,
HUANTA,7.0,8596.581852153051,8617.802452313976,
HUANTAN,1.0,8629.571068596948,8638.296941460168,
HUANTAR,2.0,8956.751035026558,8961.75734143003,
HUANUARA,1.0,8141.655631064194,8149.943239898085,
HUANUCO,8.0,8912.387305892564,8916.162177490787,
HUANUHUANU,1.0,8298.802211469963,8314.728869242157,
HUANZA,2.0,8725.286713537242,8737.968205237166,
HUAQUIRCA,4.0,8446.54286979804,8453.415354657922,
HUARAL,14.0,8736.440465225342,8750.379674390419,
HUARANCHAL,2.0,9149.576153917755,9154.971909053264,
HUARANGO,13.0,9420.354422745218,9473.503377089542,
HUARAZ,12.0,8942.039943411686,8950.732260344994,
HUARIACA,3.0,8853.183769583933,8856.91591224463,
HUARIBAMBA,3.0,8664.56619643494,8673.956813632834,
HUARICOLCA,3.0,8735.582935022208,8745.481322647753,
HUARIPAMPA,1.0,8705.359957348024,8706.57718250914,
HUARMACA,21.0,9370.74670562828,9393.48876622926,
HUARMEY,4.0,8887.066870780716,8909.938244839179,
HUAROCHIRI,2.0,8671.438273383388,8691.403651634753,
HUAROCONDO,2.0,8557.400198043566,8563.22318194044,
HUAROS,2.0,8745.036349259364,8753.862234700204,
HUASAHUASI,7.0,8771.031071480846,8805.131471018776,
HUASICANCHA,1.0,8644.777210474007,8649.415335645706,
HUASMIN,9.0,9244.029917229987,9259.41912763444,
HUASTA,2.0,8884.339639755237,8897.087075538364,
HUATASANI,1.0,8398.175158633536,8404.758547402753,
HUAURA,6.0,8780.890279909174,8797.578422995886,
HUAY HUAY,1.0,,,
HUAY-HUAY,,8713.72650852321,8720.95648623049,
HUAYACUNDO ARMA,,8515.705179595137,8517.80765564682,
HUAYAN,1.0,8908.172545932091,8913.176478891406,
HUAYANA,2.0,8478.15315413098,8486.946911646311,
HUAYCUNDO ARMA,,8518.363061895217,8518.363061895217,
HUAYLAS,1.0,9018.023439604432,9023.026235246038,
HUAYLILLAS,1.0,9096.988832325891,9100.64780288839,
HUAYLLABAMBA,4.0,8846.086962844607,9070.312676173558,
HUAYLLACAYAN,2.0,8868.795285789723,8872.93538272789,
HUAYLLAHUARA,1.0,8641.250647697505,8645.65174045086,
HUAYLLAN,3.0,9019.933936564681,9023.374530863106,
HUAYLLAPAMPA,1.0,8888.461275950956,8899.791969380376,
HUAYLLATI,,8489.781503843917,8494.958115490852,
HUAYLLAY,7.0,8793.03659116304,8816.668089722583,
HUAYLLAY GRANDE,,8587.978119010839,8592.28706205224,
HUAYLLO,2.0,8468.184443039758,8475.75307182577,
HUAYNACOTAS,3.0,8384.32426004031,8410.361037568362,
HUAYOPATA,5.0,8592.517614196444,8598.390400300112,
HUAYRAPATA,2.0,8375.199246662598,8387.540334633077,
HUAYTARA,1.0,8506.380901808747,8514.67160477824,
HUAYUCACHI,2.0,8671.850133932483,8673.428565784146,
